source,degree_centrality,closeness_centrality,betweenness_centrality,pagerank,hits_hubs,hits_authorities
61997CJ0253,0.0009956553222302679,0.031073638215764535,0.00016951511635102126,0.00013117056135233975,9.77976511533774e-06,9.758103120475302e-07
61995CJ0179,0.000724112961622013,0.055016200410830336,0.0003942618799355571,7.1351332908534e-05,2.3708774125327616e-05,1.02802879019523e-05
61994CJ0028,0.0012671976828385228,0.031072475913159283,0.0007116815015012752,0.0001438762357743618,2.1078352955380618e-06,7.077486335059608e-06
61997CJ0059,0.000724112961622013,0.00047802769732078207,3.811560304071696e-07,4.612556472883749e-05,9.680812020607343e-07,2.3719832968294597e-07
61997CJ0179,9.051412020275162e-05,0.0,0.0,2.769082607392964e-05,3.262908118041722e-09,0.0
61995CJ0390,0.0016292541636495292,0.0585836788536727,0.0001803805323175892,0.00015308288558168556,3.6497815482171143e-07,7.309564788111439e-05
61997CJ0235,0.0009051412020275162,0.0012628250200267957,0.000514029849510611,0.00011659122437584231,9.457159314076101e-06,2.2799677835895053e-07
61996CJ0232,0.0005430847212165098,0.0,0.0,2.769082607392964e-05,1.9277825129095182e-06,0.0
61996CJ0242,0.000724112961622013,0.02949352503419513,4.693348594910789e-06,4.48880823372771e-05,3.473281621938732e-06,1.6707178981195033e-07
61996CJ0238,0.0010861694424330196,0.04565786807677662,0.0001801626923459939,9.678875597278303e-05,2.002198666639446e-06,2.189899167159473e-07
61996CJ0233,0.000724112961622013,9.051412020275162e-05,8.603224967220894e-08,3.104917641674753e-05,2.631563809174394e-06,7.191256914897975e-07
61996CJ0209,0.0012671976828385228,0.04349326937156232,6.973724950565717e-05,6.387550774258023e-05,2.659163049637764e-06,1.3046248149988063e-05
61994CJ0027,0.0008146270818247646,0.02955346254859271,0.0007166164898494415,7.949388308810506e-05,8.181845076850976e-06,5.860820285141721e-07
61996CJ0400,0.0008146270818247646,0.053884424755245554,0.000426554013410743,0.00010016772121331366,0.0001530170383624649,3.482227414503086e-05
