,case_id,law_id,cited_article,law_type
107245,62013CJ0396,32003L0088,A07P1,L
107278,62013CJ0399,32001R1049,ENTIRE_ARTICLE,R
107279,62013CJ0400,32001R0044,ENTIRE_ARTICLE,R
107308,62013CJ0401,31972R0574,ENTIRE_ARTICLE,R
107413,62013CJ0416,32000L0078,ENTIRE_ARTICLE,L
107431,62013CJ0417,32000L0078,ENTIRE_ARTICLE,L
107441,62013CJ0419,32001L0029,ENTIRE_ARTICLE,L
107443,62013CJ0420,31989L0104,A03,L
107451,62013CJ0421,31994R0040,A07,R
107569,62013CJ0434,32003R0001,A31,R
107600,62013CJ0437,31992R2913,A245,R
107610,62013CJ0438,32006L0112,A18LC,L
107654,62013CJ0440,32004L0018,ENTIRE_ARTICLE,L
107664,62013CJ0441,32001R0044,C2,R
107702,62013CJ0446,32006L0112,ENTIRE_ARTICLE,L
107870,62013CJ0467,32003R0001,A31,R
107917,62013CJ0470,32004L0018,N4,L
107995,62013CJ0477,32005L0036,TIT3,L
108018,62013CJ0479,32006L0112,N3PT6,L
108032,62013CJ0480,31987R2658,N1,R
108036,62013CJ0482,31993L0013,A07,L
108071,62013CJ0492,32006L0112,P1L2,L
108074,62013CJ0497,31993L0013,ENTIRE_ARTICLE,L
108129,62013CJ0499,32006L0112,A90P1,L
108151,62013CJ0502,32006L0112,N3PT9,L
108281,62013CJ0515,32000L0078,ENTIRE_ARTICLE,L
108288,62013CJ0516,32001L0029,C9,L
108346,62013CJ0523,31971R1408,ENTIRE_ARTICLE,R
108357,62013CJ0524,31969L0335,ENTIRE_ARTICLE,L
108387,62013CJ0526,32006L0112,ENTIRE_ARTICLE,L
108392,62013CJ0527,31979L0007,ENTIRE_ARTICLE,L
108450,62013CJ0529,32000L0078,ENTIRE_ARTICLE,L
108464,62013CJ0530,32000L0078,ENTIRE_ARTICLE,L
108552,62013CJ0536,32001R0044,ENTIRE_ARTICLE,R
108568,62013CJ0537,31993L0013,ENTIRE_ARTICLE,L
108576,62013CJ0538,32004L0018,ENTIRE_ARTICLE,L
108592,62013CJ0541,31987R2658,3822,R
108626,62013CJ0543,31971R1408,N6LRPT1LB,R
108660,62013CJ0546,31987R2658,90,R
108699,62013CJ0547,31987R2658,TR1AP3LA,R
108717,62013CJ0549,32004L0018,A26,L
108743,62013CJ0552,32004L0018,N2B,L
108795,62013CJ0560,31988L0361,N1PT4,L
108866,62013CJ0567,31993L0013,ENTIRE_ARTICLE,L
108871,62013CJ0568,32004L0018,A01P8,L
108966,62013CJ0572,32001L0029,C38,L
109039,62013CJ0581,31994R0040,A74P1,R
109055,62013CJ0583,32003R0001,ENTIRE_ARTICLE,R
109060,62013CJ0584,31977L0388,A33P1,L
109085,62013CJ0586,31968R1612,A06,R
109111,62013CJ0590,31977L0388,CH16BIS,L
109160,62013CJ0594,32006L0112,TR9CH2,L
109177,62013CJ0595,32006L0112,A135P1LG,L
109224,62013CJ0601,32004L0018,ENTIRE_ARTICLE,L
109239,62013CJ0603,32003R0001,A31,R
109257,62013CJ0604,32003R0001,A23P3,R
109321,62013CJ0608,32003R0001,A31,R
109329,62013CJ0609,32003R0001,A31,R
109350,62013CJ0611,32003R0001,A23P2L2,R
109360,62013CJ0612,32001R1049,ENTIRE_ARTICLE,R
109380,62013CJ0615,32001R1049,ENTIRE_ARTICLE,R
109393,62013CJ0616,32003R0001,A31,R
109408,62013CJ0617,32003R0001,A31,R
109438,62013CJ0619,32003R0001,A23P2L2,R
109461,62013CJ0623,31971R1408,ENTIRE_ARTICLE,R
109477,62013CJ0625,32003R0001,A31,R
109494,62013CJ0626,32003R0001,A31,R
109573,62013CJ0635,31987R2658,9998,R
109584,62013CJ0636,32003R0001,A31,R
109601,62013CJ0637,32003R0001,A23P2L2,R
109619,62013CJ0638,32003R0001,A31,R
109639,62013CJ0639,32006L0112,P2,L
109659,62013CJ0642,32003R0001,A31,R
109672,62013CJ0644,32003R0001,A31,R
109686,62013CJ0648,31992L0043,ENTIRE_ARTICLE,L
109742,62013CJ0649,32001R0044,ENTIRE_ARTICLE,R
109790,62013CJ0655,31971R1408,ENTIRE_ARTICLE,R
109836,62013CJ0659,31992R2913,A243,R
109905,62013CJ0662,32006L0112,ENTIRE_ARTICLE,L
109934,62013CJ0666,31987R2658,TR1A,R
109950,62013CJ0667,31999R0659,A14P2,R
110036,62013CJ0673,32001R1049,ENTIRE_ARTICLE,R
110093,62013CJ0678,32006L0112,N3PT4,L
110111,62013CJ0681,32001R0044,ENTIRE_ARTICLE,R
110246,62013CJ0690,31999R0659,A15P3,R
110290,62013CO0027,31999R0659,A07,R
110314,62013CO0033,31977L0388,ENTIRE_ARTICLE,L
110320,62013CO0050,31999L0070,NCL5,L
110336,62013CO0070,32009R0207,A07P3,R
110367,62013CO0072,32006L0112,ENTIRE_ARTICLE,L
110392,62013CO0089,32000L0078,A03P1LC,L
110408,62013CO0102,31999R0659,A07,R
110432,62013CO0142,32003R0001,A16P1,R
110442,62013CO0145,31999R0659,ENTIRE_ARTICLE,R
110448,62013CO0159,31994R0040,A52P1LC,R
